⚙️  Running in WANDB offline mode
⚙️  Running in WANDB offline mode
Loading base model: allenai/Llama-3.1-Tulu-3-8B-SFT
Loading base model: allenai/Llama-3.1-Tulu-3-8B-SFT
No custom adapter provided, initializing new LoRA config.
No custom adapter provided, initializing new LoRA config.
Final LoRA model info:
trainable params: 83,886,080 || all params: 8,114,212,864 || trainable%: 1.0338
Final LoRA model info:
trainable params: 83,886,080 || all params: 8,114,212,864 || trainable%: 1.0338
{'loss': 0.6931, 'grad_norm': 3.0975279808044434, 'learning_rate': 0.0, 'rewards/chosen': 0.0, 'rewards/rejected': 0.0, 'rewards/accuracies': 0.0, 'rewards/margins': 0.0, 'logps/chosen': -119.5, 'logps/rejected': -193.0, 'logits/chosen': -1.578125, 'logits/rejected': -1.515625, 'epoch': 0.0}
{'loss': 0.7454, 'grad_norm': 3.713240146636963, 'learning_rate': 0.00019980784627702164, 'rewards/chosen': 0.06298828125, 'rewards/rejected': 0.14453125, 'rewards/accuracies': 0.5, 'rewards/margins': -0.08251953125, 'logps/chosen': -176.0, 'logps/rejected': -116.0, 'logits/chosen': -1.609375, 'logits/rejected': -1.5703125, 'epoch': 0.01}
{'loss': 0.7067, 'grad_norm': 2.548517942428589, 'learning_rate': 0.00019977582065652523, 'rewards/chosen': 0.0673828125, 'rewards/rejected': 0.08349609375, 'rewards/accuracies': 0.375, 'rewards/margins': -0.015869140625, 'logps/chosen': -102.5, 'logps/rejected': -57.25, 'logits/chosen': -1.5, 'logits/rejected': -1.5, 'epoch': 0.01}
{'loss': 0.6469, 'grad_norm': 2.905172824859619, 'learning_rate': 0.00019974379503602882, 'rewards/chosen': 0.16015625, 'rewards/rejected': 0.050537109375, 'rewards/accuracies': 0.5, 'rewards/margins': 0.109375, 'logps/chosen': -112.5, 'logps/rejected': -121.0, 'logits/chosen': -1.640625, 'logits/rejected': -1.703125, 'epoch': 0.01}
{'loss': 0.7542, 'grad_norm': 3.440629005432129, 'learning_rate': 0.00019971176941553244, 'rewards/chosen': 0.0123291015625, 'rewards/rejected': 0.11767578125, 'rewards/accuracies': 0.375, 'rewards/margins': -0.10546875, 'logps/chosen': -78.5, 'logps/rejected': -61.75, 'logits/chosen': -1.5625, 'logits/rejected': -1.71875, 'epoch': 0.01}
{'loss': 0.698, 'grad_norm': 2.6411569118499756, 'learning_rate': 0.00019967974379503606, 'rewards/chosen': 0.032958984375, 'rewards/rejected': 0.025390625, 'rewards/accuracies': 0.75, 'rewards/margins': 0.0074462890625, 'logps/chosen': -96.0, 'logps/rejected': -88.5, 'logits/chosen': -1.578125, 'logits/rejected': -1.5234375, 'epoch': 0.01}
{'loss': 0.633, 'grad_norm': 2.6430087089538574, 'learning_rate': 0.00019964771817453965, 'rewards/chosen': -0.1708984375, 'rewards/rejected': -0.365234375, 'rewards/accuracies': 0.5, 'rewards/margins': 0.1943359375, 'logps/chosen': -122.0, 'logps/rejected': -87.5, 'logits/chosen': -1.7578125, 'logits/rejected': -1.53125, 'epoch': 0.01}
{'loss': 0.6052, 'grad_norm': 3.751563549041748, 'learning_rate': 0.00019961569255404324, 'rewards/chosen': -0.26171875, 'rewards/rejected': -0.578125, 'rewards/accuracies': 0.75, 'rewards/margins': 0.314453125, 'logps/chosen': -157.0, 'logps/rejected': -179.0, 'logits/chosen': -1.515625, 'logits/rejected': -1.703125, 'epoch': 0.01}
{'loss': 0.5948, 'grad_norm': 3.07003116607666, 'learning_rate': 0.00019958366693354683, 'rewards/chosen': -0.53125, 'rewards/rejected': -0.765625, 'rewards/accuracies': 0.75, 'rewards/margins': 0.236328125, 'logps/chosen': -144.0, 'logps/rejected': -75.0, 'logits/chosen': -1.7265625, 'logits/rejected': -1.6171875, 'epoch': 0.02}
{'loss': 0.5458, 'grad_norm': 2.9014968872070312, 'learning_rate': 0.00019955164131305045, 'rewards/chosen': -0.38671875, 'rewards/rejected': -0.81640625, 'rewards/accuracies': 0.75, 'rewards/margins': 0.427734375, 'logps/chosen': -115.5, 'logps/rejected': -118.0, 'logits/chosen': -1.5625, 'logits/rejected': -1.6015625, 'epoch': 0.02}
{'loss': 0.7403, 'grad_norm': 4.924344062805176, 'learning_rate': 0.00019951961569255407, 'rewards/chosen': -1.1015625, 'rewards/rejected': -1.28125, 'rewards/accuracies': 0.75, 'rewards/margins': 0.1708984375, 'logps/chosen': -146.0, 'logps/rejected': -119.5, 'logits/chosen': -1.5703125, 'logits/rejected': -1.4765625, 'epoch': 0.02}
{'loss': 0.7424, 'grad_norm': 3.9586949348449707, 'learning_rate': 0.00019948759007205766, 'rewards/chosen': -0.78515625, 'rewards/rejected': -0.78515625, 'rewards/accuracies': 0.375, 'rewards/margins': -9.1552734375e-05, 'logps/chosen': -116.5, 'logps/rejected': -88.0, 'logits/chosen': -1.609375, 'logits/rejected': -1.6796875, 'epoch': 0.02}
{'loss': 0.5005, 'grad_norm': 2.9567296504974365, 'learning_rate': 0.00019945556445156125, 'rewards/chosen': -0.3359375, 'rewards/rejected': -1.1015625, 'rewards/accuracies': 0.625, 'rewards/margins': 0.765625, 'logps/chosen': -107.5, 'logps/rejected': -89.0, 'logits/chosen': -1.53125, 'logits/rejected': -1.515625, 'epoch': 0.02}
{'loss': 0.8676, 'grad_norm': 5.019730091094971, 'learning_rate': 0.00019942353883106487, 'rewards/chosen': -0.69140625, 'rewards/rejected': -0.75, 'rewards/accuracies': 0.375, 'rewards/margins': 0.0615234375, 'logps/chosen': -145.0, 'logps/rejected': -120.5, 'logits/chosen': -1.5625, 'logits/rejected': -1.4765625, 'epoch': 0.02}
{'loss': 0.4145, 'grad_norm': 2.064521551132202, 'learning_rate': 0.00019939151321056846, 'rewards/chosen': -0.0703125, 'rewards/rejected': -1.1953125, 'rewards/accuracies': 0.875, 'rewards/margins': 1.125, 'logps/chosen': -102.0, 'logps/rejected': -100.5, 'logits/chosen': -1.484375, 'logits/rejected': -1.5546875, 'epoch': 0.02}
{'loss': 0.5161, 'grad_norm': 3.0060231685638428, 'learning_rate': 0.00019935948759007205, 'rewards/chosen': -1.0, 'rewards/rejected': -1.734375, 'rewards/accuracies': 0.875, 'rewards/margins': 0.73828125, 'logps/chosen': -100.0, 'logps/rejected': -98.0, 'logits/chosen': -1.375, 'logits/rejected': -1.453125, 'epoch': 0.02}
{'loss': 0.6939, 'grad_norm': 4.309618949890137, 'learning_rate': 0.00019932746196957567, 'rewards/chosen': -1.203125, 'rewards/rejected': -1.3046875, 'rewards/accuracies': 0.375, 'rewards/margins': 0.0986328125, 'logps/chosen': -128.0, 'logps/rejected': -49.75, 'logits/chosen': -1.453125, 'logits/rejected': -1.46875, 'epoch': 0.02}
{'loss': 0.6028, 'grad_norm': 4.0773420333862305, 'learning_rate': 0.0001992954363490793, 'rewards/chosen': -0.67578125, 'rewards/rejected': -1.6953125, 'rewards/accuracies': 0.625, 'rewards/margins': 1.015625, 'logps/chosen': -130.0, 'logps/rejected': -106.5, 'logits/chosen': -1.3125, 'logits/rejected': -1.421875, 'epoch': 0.02}
{'loss': 0.4859, 'grad_norm': 2.712001085281372, 'learning_rate': 0.00019926341072858288, 'rewards/chosen': -0.4296875, 'rewards/rejected': -1.0703125, 'rewards/accuracies': 0.75, 'rewards/margins': 0.63671875, 'logps/chosen': -120.5, 'logps/rejected': -119.0, 'logits/chosen': -1.21875, 'logits/rejected': -1.2109375, 'epoch': 0.02}
{'loss': 0.5434, 'grad_norm': 2.8949737548828125, 'learning_rate': 0.00019923138510808647, 'rewards/chosen': -0.1220703125, 'rewards/rejected': -0.6328125, 'rewards/accuracies': 0.625, 'rewards/margins': 0.51171875, 'logps/chosen': -152.0, 'logps/rejected': -83.5, 'logits/chosen': -1.40625, 'logits/rejected': -1.359375, 'epoch': 0.02}
{'loss': 0.7693, 'grad_norm': 4.360403060913086, 'learning_rate': 0.0001991993594875901, 'rewards/chosen': -0.1318359375, 'rewards/rejected': -0.263671875, 'rewards/accuracies': 0.75, 'rewards/margins': 0.130859375, 'logps/chosen': -104.0, 'logps/rejected': -91.0, 'logits/chosen': -1.359375, 'logits/rejected': -1.375, 'epoch': 0.02}
{'loss': 0.5491, 'grad_norm': 3.2450778484344482, 'learning_rate': 0.00019916733386709368, 'rewards/chosen': -0.234375, 'rewards/rejected': -0.6484375, 'rewards/accuracies': 0.75, 'rewards/margins': 0.4140625, 'logps/chosen': -76.5, 'logps/rejected': -142.0, 'logits/chosen': -1.34375, 'logits/rejected': -1.4296875, 'epoch': 0.03}
{'loss': 0.8015, 'grad_norm': 4.042998313903809, 'learning_rate': 0.0001991353082465973, 'rewards/chosen': -0.2216796875, 'rewards/rejected': -0.1455078125, 'rewards/accuracies': 0.5, 'rewards/margins': -0.0751953125, 'logps/chosen': -126.0, 'logps/rejected': -114.5, 'logits/chosen': -1.2890625, 'logits/rejected': -1.2578125, 'epoch': 0.03}
{'loss': 0.7208, 'grad_norm': 4.076528549194336, 'learning_rate': 0.0001991032826261009, 'rewards/chosen': -0.1494140625, 'rewards/rejected': -0.5078125, 'rewards/accuracies': 0.5, 'rewards/margins': 0.35546875, 'logps/chosen': -159.0, 'logps/rejected': -119.0, 'logits/chosen': -1.1640625, 'logits/rejected': -1.1484375, 'epoch': 0.03}
{'loss': 0.7411, 'grad_norm': 4.1637091636657715, 'learning_rate': 0.0001990712570056045, 'rewards/chosen': -0.63671875, 'rewards/rejected': -0.59375, 'rewards/accuracies': 0.5, 'rewards/margins': -0.040283203125, 'logps/chosen': -112.5, 'logps/rejected': -107.5, 'logits/chosen': -1.2890625, 'logits/rejected': -1.25, 'epoch': 0.03}
{'loss': 0.6002, 'grad_norm': 4.039067268371582, 'learning_rate': 0.0001990392313851081, 'rewards/chosen': -0.05712890625, 'rewards/rejected': -0.384765625, 'rewards/accuracies': 0.625, 'rewards/margins': 0.328125, 'logps/chosen': -169.0, 'logps/rejected': -97.5, 'logits/chosen': -1.328125, 'logits/rejected': -1.2734375, 'epoch': 0.03}
{'loss': 0.5834, 'grad_norm': 2.7648425102233887, 'learning_rate': 0.0001990072057646117, 'rewards/chosen': -0.020263671875, 'rewards/rejected': -0.291015625, 'rewards/accuracies': 0.75, 'rewards/margins': 0.271484375, 'logps/chosen': -88.5, 'logps/rejected': -71.0, 'logits/chosen': -1.453125, 'logits/rejected': -1.3984375, 'epoch': 0.03}
{'loss': 0.5745, 'grad_norm': 2.730975389480591, 'learning_rate': 0.00019897518014411528, 'rewards/chosen': 0.1181640625, 'rewards/rejected': -0.33984375, 'rewards/accuracies': 0.625, 'rewards/margins': 0.45703125, 'logps/chosen': -97.0, 'logps/rejected': -82.0, 'logits/chosen': -1.390625, 'logits/rejected': -1.359375, 'epoch': 0.03}
{'loss': 0.6008, 'grad_norm': 2.310382604598999, 'learning_rate': 0.00019894315452361893, 'rewards/chosen': -0.1435546875, 'rewards/rejected': -0.36328125, 'rewards/accuracies': 0.75, 'rewards/margins': 0.21875, 'logps/chosen': -76.0, 'logps/rejected': -49.75, 'logits/chosen': -1.1015625, 'logits/rejected': -1.2421875, 'epoch': 0.03}
{'loss': 0.8011, 'grad_norm': 3.2052619457244873, 'learning_rate': 0.00019891112890312252, 'rewards/chosen': -0.3984375, 'rewards/rejected': -0.30078125, 'rewards/accuracies': 0.5, 'rewards/margins': -0.09716796875, 'logps/chosen': -96.0, 'logps/rejected': -70.0, 'logits/chosen': -1.3828125, 'logits/rejected': -1.375, 'epoch': 0.03}
{'loss': 0.5073, 'grad_norm': 2.4691691398620605, 'learning_rate': 0.0001988791032826261, 'rewards/chosen': 0.025634765625, 'rewards/rejected': -0.51171875, 'rewards/accuracies': 0.75, 'rewards/margins': 0.5390625, 'logps/chosen': -116.0, 'logps/rejected': -65.0, 'logits/chosen': -1.28125, 'logits/rejected': -1.265625, 'epoch': 0.03}
{'loss': 0.6236, 'grad_norm': 3.3931775093078613, 'learning_rate': 0.0001988470776621297, 'rewards/chosen': -0.2265625, 'rewards/rejected': -0.404296875, 'rewards/accuracies': 0.625, 'rewards/margins': 0.17578125, 'logps/chosen': -117.0, 'logps/rejected': -92.5, 'logits/chosen': -1.28125, 'logits/rejected': -1.34375, 'epoch': 0.03}
{'loss': 0.6619, 'grad_norm': 3.4452784061431885, 'learning_rate': 0.00019881505204163332, 'rewards/chosen': -0.359375, 'rewards/rejected': -0.53515625, 'rewards/accuracies': 0.625, 'rewards/margins': 0.1767578125, 'logps/chosen': -153.0, 'logps/rejected': -107.0, 'logits/chosen': -1.4375, 'logits/rejected': -1.28125, 'epoch': 0.03}
{'loss': 0.7892, 'grad_norm': 3.7153162956237793, 'learning_rate': 0.0001987830264211369, 'rewards/chosen': -0.42578125, 'rewards/rejected': -0.345703125, 'rewards/accuracies': 0.5, 'rewards/margins': -0.0810546875, 'logps/chosen': -117.0, 'logps/rejected': -108.0, 'logits/chosen': -1.3125, 'logits/rejected': -1.203125, 'epoch': 0.04}
{'loss': 0.4305, 'grad_norm': 3.45866060256958, 'learning_rate': 0.00019875100080064053, 'rewards/chosen': -0.1162109375, 'rewards/rejected': -1.1171875, 'rewards/accuracies': 0.875, 'rewards/margins': 1.0, 'logps/chosen': -158.0, 'logps/rejected': -142.0, 'logits/chosen': -1.25, 'logits/rejected': -1.34375, 'epoch': 0.04}
{'loss': 0.5551, 'grad_norm': 3.3048014640808105, 'learning_rate': 0.00019871897518014412, 'rewards/chosen': -0.36328125, 'rewards/rejected': -1.0234375, 'rewards/accuracies': 0.875, 'rewards/margins': 0.66015625, 'logps/chosen': -111.0, 'logps/rejected': -95.5, 'logits/chosen': -1.375, 'logits/rejected': -1.359375, 'epoch': 0.04}
{'loss': 0.6161, 'grad_norm': 3.181879997253418, 'learning_rate': 0.00019868694955964774, 'rewards/chosen': -0.5390625, 'rewards/rejected': -1.1171875, 'rewards/accuracies': 0.5, 'rewards/margins': 0.578125, 'logps/chosen': -111.0, 'logps/rejected': -87.0, 'logits/chosen': -1.2734375, 'logits/rejected': -1.3671875, 'epoch': 0.04}
{'loss': 0.5226, 'grad_norm': 3.123380422592163, 'learning_rate': 0.00019865492393915133, 'rewards/chosen': -0.5703125, 'rewards/rejected': -1.09375, 'rewards/accuracies': 0.75, 'rewards/margins': 0.53125, 'logps/chosen': -168.0, 'logps/rejected': -115.5, 'logits/chosen': -1.28125, 'logits/rejected': -1.234375, 'epoch': 0.04}
{'loss': 0.5078, 'grad_norm': 2.5055696964263916, 'learning_rate': 0.00019862289831865492, 'rewards/chosen': -0.388671875, 'rewards/rejected': -0.88671875, 'rewards/accuracies': 0.875, 'rewards/margins': 0.498046875, 'logps/chosen': -113.0, 'logps/rejected': -88.0, 'logits/chosen': -1.1484375, 'logits/rejected': -1.21875, 'epoch': 0.04}
{'loss': 0.5951, 'grad_norm': 2.7983527183532715, 'learning_rate': 0.00019859087269815854, 'rewards/chosen': -0.70703125, 'rewards/rejected': -1.1328125, 'rewards/accuracies': 0.625, 'rewards/margins': 0.42578125, 'logps/chosen': -99.5, 'logps/rejected': -95.0, 'logits/chosen': -1.375, 'logits/rejected': -1.2421875, 'epoch': 0.04}
{'loss': 0.6072, 'grad_norm': 2.9023640155792236, 'learning_rate': 0.00019855884707766216, 'rewards/chosen': -0.83984375, 'rewards/rejected': -1.1640625, 'rewards/accuracies': 0.625, 'rewards/margins': 0.328125, 'logps/chosen': -74.0, 'logps/rejected': -94.0, 'logits/chosen': -1.234375, 'logits/rejected': -1.15625, 'epoch': 0.04}
{'loss': 0.7035, 'grad_norm': 3.6049797534942627, 'learning_rate': 0.00019852682145716575, 'rewards/chosen': -0.4375, 'rewards/rejected': -0.73828125, 'rewards/accuracies': 0.875, 'rewards/margins': 0.30078125, 'logps/chosen': -119.5, 'logps/rejected': -96.5, 'logits/chosen': -1.4140625, 'logits/rejected': -1.546875, 'epoch': 0.04}
{'loss': 0.4164, 'grad_norm': 2.516658067703247, 'learning_rate': 0.00019849479583666934, 'rewards/chosen': -0.51953125, 'rewards/rejected': -1.6640625, 'rewards/accuracies': 0.875, 'rewards/margins': 1.140625, 'logps/chosen': -127.0, 'logps/rejected': -122.0, 'logits/chosen': -1.390625, 'logits/rejected': -1.421875, 'epoch': 0.04}
{'loss': 0.5694, 'grad_norm': 4.047903537750244, 'learning_rate': 0.00019846277021617296, 'rewards/chosen': -1.0234375, 'rewards/rejected': -1.515625, 'rewards/accuracies': 0.625, 'rewards/margins': 0.4921875, 'logps/chosen': -200.0, 'logps/rejected': -70.5, 'logits/chosen': -1.296875, 'logits/rejected': -1.59375, 'epoch': 0.04}
{'loss': 0.7705, 'grad_norm': 4.7379865646362305, 'learning_rate': 0.00019843074459567655, 'rewards/chosen': -0.1875, 'rewards/rejected': -0.197265625, 'rewards/accuracies': 0.5, 'rewards/margins': 0.008544921875, 'logps/chosen': -141.0, 'logps/rejected': -118.0, 'logits/chosen': -1.5625, 'logits/rejected': -1.421875, 'epoch': 0.04}
{'loss': 0.6287, 'grad_norm': 4.443020343780518, 'learning_rate': 0.00019839871897518017, 'rewards/chosen': -0.333984375, 'rewards/rejected': -0.9921875, 'rewards/accuracies': 0.5, 'rewards/margins': 0.65625, 'logps/chosen': -88.0, 'logps/rejected': -103.0, 'logits/chosen': -1.375, 'logits/rejected': -1.5234375, 'epoch': 0.04}
{'loss': 0.6324, 'grad_norm': 7.342985153198242, 'learning_rate': 0.00019836669335468376, 'rewards/chosen': -0.71875, 'rewards/rejected': -1.1484375, 'rewards/accuracies': 0.5, 'rewards/margins': 0.4296875, 'logps/chosen': -156.0, 'logps/rejected': -124.5, 'logits/chosen': -1.4453125, 'logits/rejected': -1.3046875, 'epoch': 0.05}
{'loss': 0.4105, 'grad_norm': 2.890430450439453, 'learning_rate': 0.00019833466773418738, 'rewards/chosen': -0.1875, 'rewards/rejected': -1.1171875, 'rewards/accuracies': 0.875, 'rewards/margins': 0.9296875, 'logps/chosen': -119.0, 'logps/rejected': -71.5, 'logits/chosen': -1.671875, 'logits/rejected': -1.6875, 'epoch': 0.05}
{'loss': 0.5829, 'grad_norm': 5.455929279327393, 'learning_rate': 0.00019830264211369097, 'rewards/chosen': -0.203125, 'rewards/rejected': -0.55859375, 'rewards/accuracies': 0.75, 'rewards/margins': 0.357421875, 'logps/chosen': -124.0, 'logps/rejected': -113.5, 'logits/chosen': -1.5390625, 'logits/rejected': -1.5078125, 'epoch': 0.05}
{'loss': 1.3553, 'grad_norm': 11.73917293548584, 'learning_rate': 0.00019827061649319456, 'rewards/chosen': -0.66796875, 'rewards/rejected': -0.0390625, 'rewards/accuracies': 0.25, 'rewards/margins': -0.62890625, 'logps/chosen': -147.0, 'logps/rejected': -157.0, 'logits/chosen': -1.625, 'logits/rejected': -1.734375, 'epoch': 0.05}
{'loss': 0.5991, 'grad_norm': 4.38640832901001, 'learning_rate': 0.00019823859087269815, 'rewards/chosen': -0.74609375, 'rewards/rejected': -1.09375, 'rewards/accuracies': 0.5, 'rewards/margins': 0.34375, 'logps/chosen': -137.0, 'logps/rejected': -146.0, 'logits/chosen': -1.59375, 'logits/rejected': -1.375, 'epoch': 0.05}
{'loss': 0.54, 'grad_norm': 3.126595973968506, 'learning_rate': 0.00019820656525220177, 'rewards/chosen': -0.359375, 'rewards/rejected': -1.25, 'rewards/accuracies': 0.625, 'rewards/margins': 0.89453125, 'logps/chosen': -133.0, 'logps/rejected': -132.0, 'logits/chosen': -1.4609375, 'logits/rejected': -1.4140625, 'epoch': 0.05}
{'loss': 0.6074, 'grad_norm': 3.5373265743255615, 'learning_rate': 0.00019817453963170539, 'rewards/chosen': -1.046875, 'rewards/rejected': -1.3828125, 'rewards/accuracies': 0.5, 'rewards/margins': 0.333984375, 'logps/chosen': -142.0, 'logps/rejected': -95.0, 'logits/chosen': -1.421875, 'logits/rejected': -1.4453125, 'epoch': 0.05}
{'loss': 0.5218, 'grad_norm': 3.1599442958831787, 'learning_rate': 0.00019814251401120898, 'rewards/chosen': -0.0927734375, 'rewards/rejected': -0.6484375, 'rewards/accuracies': 0.75, 'rewards/margins': 0.5546875, 'logps/chosen': -98.0, 'logps/rejected': -135.0, 'logits/chosen': -1.4375, 'logits/rejected': -1.4375, 'epoch': 0.05}
{'loss': 0.5274, 'grad_norm': 3.20345139503479, 'learning_rate': 0.00019811048839071257, 'rewards/chosen': -0.38671875, 'rewards/rejected': -0.82421875, 'rewards/accuracies': 0.75, 'rewards/margins': 0.4375, 'logps/chosen': -110.5, 'logps/rejected': -75.5, 'logits/chosen': -1.515625, 'logits/rejected': -1.59375, 'epoch': 0.05}
{'loss': 0.5388, 'grad_norm': 3.0547776222229004, 'learning_rate': 0.0001980784627702162, 'rewards/chosen': -0.443359375, 'rewards/rejected': -0.8984375, 'rewards/accuracies': 0.75, 'rewards/margins': 0.45703125, 'logps/chosen': -146.0, 'logps/rejected': -126.5, 'logits/chosen': -1.515625, 'logits/rejected': -1.515625, 'epoch': 0.05}
{'loss': 0.6018, 'grad_norm': 4.28341007232666, 'learning_rate': 0.00019804643714971978, 'rewards/chosen': -0.50390625, 'rewards/rejected': -0.8671875, 'rewards/accuracies': 0.625, 'rewards/margins': 0.36328125, 'logps/chosen': -149.0, 'logps/rejected': -125.0, 'logits/chosen': -1.4140625, 'logits/rejected': -1.359375, 'epoch': 0.05}
{'loss': 0.9465, 'grad_norm': 5.227350234985352, 'learning_rate': 0.0001980144115292234, 'rewards/chosen': -1.4375, 'rewards/rejected': -1.3359375, 'rewards/accuracies': 0.625, 'rewards/margins': -0.103515625, 'logps/chosen': -250.0, 'logps/rejected': -106.5, 'logits/chosen': -1.5078125, 'logits/rejected': -1.46875, 'epoch': 0.05}
{'loss': 0.5632, 'grad_norm': 3.7592525482177734, 'learning_rate': 0.000197982385908727, 'rewards/chosen': -0.73046875, 'rewards/rejected': -1.0703125, 'rewards/accuracies': 0.625, 'rewards/margins': 0.341796875, 'logps/chosen': -152.0, 'logps/rejected': -129.0, 'logits/chosen': -1.515625, 'logits/rejected': -1.4296875, 'epoch': 0.06}
{'loss': 0.5061, 'grad_norm': 4.074772834777832, 'learning_rate': 0.0001979503602882306, 'rewards/chosen': -0.8203125, 'rewards/rejected': -2.34375, 'rewards/accuracies': 0.625, 'rewards/margins': 1.5234375, 'logps/chosen': -167.0, 'logps/rejected': -90.0, 'logits/chosen': -1.4765625, 'logits/rejected': -1.390625, 'epoch': 0.06}
{'loss': 0.6132, 'grad_norm': 4.633680820465088, 'learning_rate': 0.0001979183346677342, 'rewards/chosen': -1.015625, 'rewards/rejected': -1.3125, 'rewards/accuracies': 0.75, 'rewards/margins': 0.3046875, 'logps/chosen': -111.0, 'logps/rejected': -100.5, 'logits/chosen': -1.53125, 'logits/rejected': -1.5, 'epoch': 0.06}
{'loss': 0.3426, 'grad_norm': 2.9019412994384766, 'learning_rate': 0.0001978863090472378, 'rewards/chosen': -0.54296875, 'rewards/rejected': -1.578125, 'rewards/accuracies': 1.0, 'rewards/margins': 1.03125, 'logps/chosen': -76.0, 'logps/rejected': -72.0, 'logits/chosen': -1.328125, 'logits/rejected': -1.3359375, 'epoch': 0.06}
